Length,Women
18.5,1.47
19,1.48
19.5,1.5
20,1.51
20.5,1.52
21,1.54
21.5,1.55
22,1.56
22.5,1.58
23,1.59
23.5,1.61
24,1.62
24.5,1.63
25,1.65
25.5,1.66
26,1.68
26.5,1.69
27,1.7
27.5,1.72
28,1.73
28.5,1.75
29,1.76
29.5,1.77
30,1.79
30.5,1.8
31,1.81
31.5,1.83
32,1.84
32.5,1.86
33,1.87
33.5,1.88
34,1.9
34.5,1.91
35,1.92
35.5,1.94
36,1.95
36.6,1.96
37,1.97
37.5,1.99
38,2
38.5,2.1
39,2.2
39.5,2.4
40,2.5
40.5,2.6
41,2.8
41.5,2.9
42,3
42.5,3.1
43,3.3
43.5,3.4
44,3.5
44.5,3.6
45,3.7
45.5,3.8
46,4
46.5,4.1
47,4.2
47.5,4.4
48,4.5
48.5,4.6
49,4.7
49.5,4.8
50,4.9
50.5,5.1
51,5.2
51.5,5.3
52,5.5
52.5,5.6
53,5.7
53.5,5.8
54,5.9
54.5,6
55,6.1
55.5,6.2
56,6.3
56.5,6.5
57,6.6
57.5,6.7
58,6.8
58.5,6.9
59,7.1
59.5,7.2
60,7.3
60.5,7.4
61,7.6
61.5,7.7
62,7.8
62.5,7.9
63,8
63.5,8.2
64,8.3
64.5,8.4
65,8.5
65.5,8.6
66,8.7
66.5,8.9
67,9
67.5,9.1
68,9.2
