Length,Men
18.5,1.45
19,1.46
19.5,1.48
20,1.49
20.5,1.51
21,1.52
21.5,1.54
22,1.56
22.5,1.57
23,1.59
23.5,1.6
24,1.62
24.5,1.63
25,1.65
25.5,1.67
26,1.68
26.5,1.7
27,1.71
27.5,1.73
28,1.75
28.5,1.76
29,1.78
29.5,1.79
30,1.81
30.5,1.82
31,1.84
31.5,1.86
32,1.87
32.5,1.88
33,1.89
33.5,1.91
34,1.92
34.5,1.93
35,1.95
35.5,1.96
36,1.97
36.5,1.99
37,2
37.5,2.01
38,2.02
38.5,2.04
39,2.05
39.5,2.06
40,2.08
40.5,2.09
41,2.1
41.5,2.12
42,2.13
42.5,2.14
43,2.16
43.5,2.17
44,2.18
44.5,2.2
45,2.21
45.5,2.22
46,2.23
46.5,2.25
47,2.26
47.5,2.27
48,2.28
48.5,2.3
49,2.31
49.5,2.32
50,2.33
50.5,2.34
51,2.36
51.5,2.37
52,2.39
52.5,2.4
53,2.41
53.5,2.42
54,2.44
54.5,2.45
55,2.47
55.5,2.49
56,2.5
56.5,2.51
57,2.52
57.5,2.54
58,2.55
58.5,2.56
59,2.57
59.5,2.58
60,2.59
60.5,2.6
61,2.62
61.5,2.63
62,2.65
62.5,2.67
63,2.68
63.5,2.8
64,2.81
64.5,2.82
65,2.84
65.5,2.85
66,2.86
66.5,2.88
67,2.89
67.5,2.9
68,2.91
68.5,2.92
69,2.93
